aid,fname,lname,birth_date,birth_country,birth_city,overall_rating,gender,description
nm0570230,Kathryn,McGuire,12/06/1903,USA,Illinois,0,1,"Kathryn McGuire was born on December 6, 1903 in Peoria, Illinois, USA. She was an actress, known for"
nm0000345,Billy,Crystal,03/14/1948,USA,New York,0,0,"Billy Crystal was born on March 14, 1948 in Manhattan, New York, and was raised on Long Island. He is the youngest of three sons born to Helen (Gabler) and Jack Crystal. His father was a well-known concert promoter who co-founded Commodore Records and his mother was a homemaker. His family were Jewish emigrants from Russia, Austria, and Lithuania. With his father in the music business, Billy was no stranger to some of the top performers of the time. Legends such as"
nm0849100,Yûko,Tanaka,04/29/1955,Japan,Osaka,0,1,"Yûko Tanaka was born on April 29, 1955 in Osaka, Japan. She is known for her work on"
nm2794962,Hailee,Steinfeld,12/11/1996,USA,California,0,1,"Hailee Steinfeld was born on December 11, 1996 in Tarzana, California, to Cheri (Domasin), an interior designer, and"
nm0246386,Mélissa,Désormeaux-Poulin,01/01/1970,unknown,unknown,0,1,"Mélissa Désormeaux-Poulin is an actress, known for"
nm0000314,Charles,Bronson,11/03/1921,USA,Pennsylvania,0,0,"The archetypal screen tough guy with weatherbeaten features--one film critic described his rugged looks as ""a"
nm0000349,Joan,Cusack,10/11/1962,USA,New York,0,1,"Actress Joan Cusack was born on October 11, 1962 in New York City and is the daughter of Nancy (née Carolan) and"
nm0997115,Miyu,Irino,02/19/1988,Japan,Tokyo,0,0,"Miyu Irino was born on February 19, 1988 in Tokyo, Japan. He is an actor, known for"
nm0753479,Chishû,Ryû,05/13/1904,Japan,Kumamoto,0,0,What an amazing career! Few can boast a longer one (64 years of activity). Few have been able to have to relate to three generations. And it is pretty sure that no one can compare with him in terms of faithfulness to a director: Chishu Ryu indeed appeared in no fewer than fifty-two out of fifty-four of his master
nm1419440,Ivana,Baquero,06/11/1994,Spain,Catalonia,0,1,"Ivana was born in Barcelona, Spain. She graduated High School at The American School of Barcelona."
nm0000152,Richard,Gere,08/31/1949,USA,Pennsylvania,0,0,"Humanitarian and actor Richard Gere was born on August 31, 1949, in Philadelphia, the second of five children of Doris Ann (Tiffany), a homemaker, and Homer George Gere, an insurance salesman, both Mayflower descendants. Richard started early as a musician, playing a number of instruments in high school and writing music for high school productions. He graduated from North Syracuse Central High School in 1967, and won a gymnastics scholarship to the University of Massachusetts in Amherst, where he majored in philosophy. He left college after two years to pursue acting, landing a lead role in the London production of the rock musical ""Grease"" in 1973. The following year he would be in other plays, such as ""Taming of the Shrew."" Onscreen, he had a few roles, and gained recognition in"
nm0297054,Gustav,Fröhlich,03/21/1902,Germany,Hanover,0,0,"Gustav Fröhlich was born on March 21, 1902 in Hanover, Germany. He was an actor and director, known for"
nm3918035,Zendaya, ,09/01/1996,USA,California,0,1,"Zendaya (which means ""to give thanks"" in the language of Shona) is an American actress and singer born in Oakland, California. She began her career appearing as a child model working for Macy's, Mervyns and Old Navy. She was a backup dancer before gaining prominence for her role as Rocky Blue on the Disney Channel sitcom"
nm0652663,Patton,Oswalt,01/27/1969,USA,Virginia,0,0,"Patton Oswalt has been headlining at comedy clubs all over the United States since 1996, as well as appearing in his own standup specials on Comedy Central and HBO. He was chosen as Entertainment Weekly's ""It"" comedian in 2002. He is a regular on"
nm7934649,Lijo,Mol,01/01/1970,unknown,unknown,0,1,"Lijo Mol Jose is an actress, known for"
nm0587256,Vera,Miles,08/23/1929,USA,Oklahoma,0,1,"Born in Boise City, Oklahoma, Vera Miles attended school in Pratt, Kansas and Wichita, Kansas. The patrician beauty of Miss Miles won her the title of ""Miss Kansas"" in 1948, leading soon to small roles in Hollywood films and television series. Fame came to the forthright, spirited Miles when she attracted the attention of two master directors,"
nm1886602,Miles,Teller,02/20/1987,USA,Pennsylvania,0,0,Miles Alexander Teller is an American actor and musician. For his performance in the film
nm0001330,Sterling,Hayden,03/26/1916,USA,New Jersey,0,0,"Born to George & Frances Simonson Walter, and named Sterling Relyea Walter. Father died in 1925. Adopted by stepfather 'James Hayden' renamed Sterling Walter Hayden. Grew up in New Hampshire, Massachusetts, Pennsylvania, Washington D.C., and Maine. Though very poor, attended prep school at Wassookeag School in Dexter, Maine. Ran away to sea at 17, first as ship's boy, then as doryman on the Grand Banks, as a seaman and fireman on numerous vessels before getting his first command at 19. He sailed around the world a number of times, becoming a well-known and highly respected ship's captain. At urging of friends, met with producer"
nm0602941,Nick,Moran,12/23/1969,UK,England,0,0,"Nick Moran was born on December 23, 1969 in East End, London, England. He is an actor and writer, known for"
nm0444172,Joe,Keaton,07/06/1867,USA,Indiana,0,0,"Joe Keaton and wife Myra were grade-Z vaudeville performers in the early 1900s. Their son Buster joined the act when he was only a few months old. The act was a rough-and-tumble one, with Buster being thrown around on stage most of the time. As the years went by, Joe Keaton became an alcoholic, which forced Buster to quit the act by the time he was a teenager. However, after he hit it big in silent film, Buster provided Joe with small parts in several movies. Myra and Joe split up long after Buster had become an adult. She'd had it with the constant verbal and physical abuse Joe put her through. He lived alone in a Hollywood hotel for many years and was said to have stopped drinking after becoming a Christian Scientist. Buster said Joe died as a result of being run over by a passing car."
nm0254402,Chris,Elliott,05/31/1960,USA,New York,0,0,"Chris Elliott was born on May 31, 1960 in New York City, New York, USA. He is an actor and writer, known for"
nm0001961,Ray,Bolger,01/10/1904,USA,Massachusetts,0,0,"Ray Bolger was born Raymond Wallace Bolger on January 10, 1904 in Dorchester, Massachusetts, to Anne C. (Wallace) and James Edward Bolger, both Irish-Americans. Ray began his career in vaudeville. He was half of a team called ""Sanford and Bolger"" and also did numerous Broadway shows on his own. Like"
nm9862859,Yordanos,Shiferaw,01/01/1970,unknown,unknown,0,1,"Yordanos Shiferaw is an actress, known for"
nm0001526,Patrick,McGoohan,03/19/1928,USA,New York,0,0,"Though born in America, Irish actor Patrick McGoohan rose to become the number-one British TV star in the 1950s to 1960s era. His parents moved to Ireland when he was very young and McGoohan acquired a neutral accent that sounds at home in British or American dialogue. He was an avid stage actor and performed hundreds of times in small and large productions before landing his first TV and film roles. McGoohan is one of few actors who has successfully switched between theater, TV, and films many times during his career. He was often cast in the role of Angry Young Man. In 1959, he was named Best TV Actor of the Year in Britain. Shortly thereafter, he was chosen for the starring role in the"
nm0576127,Ralph,Meeker,11/21/1920,USA,Minnesota,0,0,"Burly American character actor Ralph Meeker first acted on stage at his alma mater, Northwestern University, alongside other budding performers"
nm1502434,Leslie,Odom,08/06/1981,USA,New York,0,0,"Leslie Odom Jr. was born on August 6, 1981 in Queens, New York, USA. He is an actor and producer, known for"
nm8904193,Manikandan,K.,01/01/1970,unknown,unknown,0,0,"Manikandan was born in Chennai, Tamil Nadu. In initial years of his career he worked as a mimicry artist and then as a RJ and later, he started to work as a dubbing/voice artist in TV serials and films. He has written dialogues for various tamil films. He has also acted in some of the tamil blockbuster movie like"
nm0897640,Mónica,Villa,01/01/1970,Argentina,unknown,0,1,"Mónica Villa was born in 1954 in Argentina. She is an actress, known for"
nm0000246,Bruce,Willis,03/19/1955,West Germany,Idar-Oberstein,0,0,"Actor and musician Bruce Willis is well known for playing wisecracking or hard-edged characters, often in spectacular action films. Collectively, he has appeared in films that have grossed in excess of $2.5 billion USD, placing him in the top ten stars in terms of box office receipts."
nm0607865,Emily,Mortimer,10/06/1971,UK,England,0,1,"English actress Emily Kathleen Anne Mortimer was born in Hammersmith, London, England, to writer and barrister Sir"
nm0913822,Ken,Watanabe,10/21/1959,Japan,Uonuma,0,0,"Ken Watanabe was born on October 21, 1959 in Uonuma, Japan. Both of his parents were teachers: his mother taught general education and his dad taught calligraphy. He became interested in acting at the age of 24, when a director of England's National Theater Company, where he was studying, told him that acting was his special gift. In 1978, he moved to Tokyo to pursue acting. He drew the attention of the critics when"
nm0000023,Judy,Garland,06/10/1922,USA,Minnesota,0,1,"One of the brightest, most tragic movie stars of Hollywood's Golden Era,"
nm0181425,Jesse,Corti,07/03/1955,Venezuela,unknown,0,0,"Jesse Corti was born on July 3, 1955 in Venezuela. He is known for his work on"
nm3154303,Timothée,Chalamet,12/27/1995,USA,New York,0,0,"Timothée Hal Chalamet was born in Manhattan, to"
nm0865949,Goya,Toledo,09/24/1969,Spain,Canary Islands,0,1,"Goya Toledo was born on September 24, 1969 in Lanzarote, Canary Islands, Spain. She is an actress, known for"
nm9862858,Zain,Al,10/10/2004,Syria,Daraa,0,0,"Zain Al Rafeea is an actor, known for Capharnaüm (2018). Zain was a Syrian refugee when he was discovered in the streets of Beirut by director Nadine Labaki. At the time, his life shared similarities with that of his character of the same name. He and his family have since been resettled in Norway."
nm0910607,Christoph,Waltz,10/04/1956,Austria,Vienna,0,0,Christoph Waltz is an Austrian-German actor. He is known for his work with American filmmaker
nm0000510,Andie,MacDowell,04/21/1958,USA,South Carolina,0,1,"Andie MacDowell was born Rosalie Anderson MacDowell on April 21, 1958 in Gaffney, South Carolina, to Pauline Johnston (Oswald), a music teacher, and Marion St. Pierre MacDowell, a lumber executive. She was enrolled at Winthrop College located in Rock Hill, South Carolina. Initially discovered by a rep from Wilhelmina Models while on a trip to Los Angeles. Later signed on with Elite Model Management in New York City in 1978. Made debut film appearance in"
nm0249291,Joel,Edgerton,06/23/1974,Australia,New South Wales,0,0,"Joel Edgerton was born on June 23, 1974 in Blacktown, New South Wales, Australia, to Marianne (van Dort) and Michael Edgerton, who is a solicitor and property developer. His brother is filmmaker"
nm0000054,Marilyn,Monroe,06/01/1926,USA,California,0,1,"Marilyn Monroe was an American actress, comedienne, singer, and model. She became one of the world's most enduring iconic figures and is remembered both for her winsome embodiment of the Hollywood sex symbol and her tragic personal and professional struggles within the film industry. Her life and death are still the subjects of much controversy and speculation. She was born Norma Jeane Mortenson at the Los Angeles County Hospital on June 1, 1926. Her mother Gladys Pearl Baker was a film-cutter at Consolidated Film Industries. Marilyn's father's identity was never known. Because Gladys was mentally and financially unable to care for young Marilyn, Gladys placed her in the care of a foster family, The Bolenders. Although the Bolender family wanted to adopt Marilyn, Gladys was eventually able to stabilize her lifestyle and took Marilyn back in her care when Marilyn was 7 years old. However, shortly after regaining custody of Marilyn, Gladys had a complete mental breakdown and was diagnosed as a paranoid schizophrenic and was committed to a state mental hospital. Gladys spent the rest of her life going in and out of hospitals and rarely had contact with young Marilyn. Once Marilyn became an adult and celebrated as a film star, she paid a woman by the name of Inez Melson to look in on the institutionalized Gladys and give detailed reports of her progress. Gladys outlived her daughter, dying in 1984."
nm0000059,Laurence,Olivier,05/22/1907,UK,England,0,0,Laurence Olivier could speak
nm0136794,Lianella,Carell,05/06/1927,Italy,Lazio,0,1,"Lianella Carell was born on May 6, 1927 in Rome, Lazio, Italy. She was an actress and writer, known for"
nm2264184,Elissa,Knight,04/15/1975,USA,California,0,1,"Elissa Knight was born on April 15, 1975 in Santa Cruz, California, USA. She is known for her work on"
nm0041066,Antonella,Attili,04/03/1963,Italy,Lazio,0,1,"Antonella Attili was born on April 3, 1963 in Rome, Lazio, Italy. She is an actress and production manager, known for"
nm0000553,Liam,Neeson,06/07/1952,UK,Northern Ireland,0,0,"Liam Neeson was born on June 7, 1952 in Ballymena, Northern Ireland, to Katherine (Brown), a cook, and Bernard Neeson, a school caretaker. He was raised in a Catholic household. During his early years, Liam worked as a forklift operator for Guinness, a truck driver, an assistant architect and an amateur boxer. He had originally sought a career as a teacher by attending St. Mary's Teaching College, Newcastle. However, in 1976, Neeson joined the Belfast Lyric Players' Theater and made his professional acting debut in the play ""The Risen People"". After two years, Neeson moved to Dublin's Abbey Theater where he performed the classics. It was here that he was spotted by director"
nm0001001,James,Caan,03/26/1940,USA,New York,0,0,"A masculine and enigmatic actor whose life and movie career have had more ups and downs than the average rollercoaster and whose selection of roles has arguably derailed him from achieving true superstar status, James Caan is New York-born and bred."
nm0634159,Philippe,Noiret,10/01/1930,France,Nord,0,0,Philippe Noiret was one of French cinema's most familiar faces who appeared in more than 140 films in a career that spanned more than half a century.
nm0561158,Claire,Maurier,03/27/1929,France,Ceret,0,1,"Claire Maurier was born on March 27, 1929 in Ceret, France. She is an actress, known for"
nm0990547,Daniel,Mays,03/31/1978,UK,England,0,0,Daniel Alan Mays (born 31 March 1978) is an English actor.
nm0001695,George,Sanders,07/03/1906,Russian Empire [now Russia],St. Petersburg,0,0,"George Sanders was born of English parents in St. Petersburg, Russia. He worked in a Birmingham textile mill, in the tobacco business and as a writer in advertising. He entered show business in London as a chorus boy, going from there to cabaret, radio and theatrical understudy. His film debut, in 1936, was as Curly Randall in"
nm0000277,Richard,Attenborough,08/29/1923,UK,England,0,0,"Lord Richard Attenborough was born in Cambridge, England, the son of Mary (née Clegg), a founding member of the Marriage Guidance Council, and Frederick Levi Attenborough, a scholar and academic administrator who was a don at Emmanuel College and wrote a standard text on Anglo-Saxon law. The family later moved to Leicester where his father was appointed Principal of the university while Richard was educated at Wyggeston Grammar School for Boys in Leicester and at the Royal Academy of Dramatic Art (RADA)."
nm0383261,Chieko,Higashiyama,09/30/1890,Japan,Chiba,0,1,"Chieko Higashiyama was born on September 30, 1890 in Chiba, Japan. She was an actress, known for"
nm0618690,Matheus,Nachtergaele,01/03/1969,Brazil,São Paulo,0,0,"Matheus Nachtergaele was born in Sao Paulo, Brazil, in 1969. He is one of the best young Brazilian actor at the moment. He showed his talent in many beautiful roles, both in cinema and television. For the TV he workes in the TV series ""Hilda Furacao"" in the role of the transexual Cintura Fina, in the TV series ""A muralha"" in the role of a problematic and frantic Catholic priest in Brazil of 1600, in the beautiful and original novela ""Da cor do pecado"" in the role of a funny medium named Helinho. He also played in many beautiful and quality movies of the best Brazilian cinema of the late years, like, for example, the worldwide acclaimed ""Central Station"" by Walter Salles and ""City of God"" by Fernando Meirelles. He also worked in the beautiful movie ""Midnight"" by Walter Salles, and ""Four days in September"" by Bruno Barreto. Versatile and wonderful actor, he is able to play comic and dramatic roles with great talent and expressiveness. He also won twice the award of Best Actor in the Grande Prêmio Cinema Brasil (Great Award Brazilian Cinema), for his role in ""Midnight"" (1998) and ""O Auto da Compadecida"" (2000). He won the award of Best Actor for ""Amarelo Manga"", in XIII Cine Ceará (XIII Festival of Cinema of Ceará)in 2003"
nm0004951,Brad,Garrett,04/14/1960,USA,California,0,0,"Standing 6 feet 9 inches tall, Garrett grew up in Woodland Hills outside of Los Angeles. His father was a hearing aid specialist working in geriatrics and his mother was a housewife. Garrett spent a whopping six weeks at UCLA before going into stand-up comedy full time. He began performing his act at various Los Angeles comedy clubs, getting his start at the Ice House in Pasadena and the Improv in Hollywood. In 1984, he became the first $100,000 grand champion winner in the comedy category of"
nm0000111,Matthew,Broderick,03/21/1962,USA,New York,0,0,"A slight comic actor chiefly known for his boyish charm, Matthew Broderick was born on March 21, 1962 in New York City, to"
nm1126657,George,MacKay,03/13/1992,UK,England,0,0,"George MacKay was born 13 March, 1992 in Hammersmith, London, England, to Kim Baker, a British costume designer, and Paul Christopher MacKay, an Australian stage/lighting manager, from Adelaide. One of his grandmothers is from Cork, Ireland."
nm0000036,Buster,Keaton,10/04/1895,USA,Kansas,0,0,"Joseph Frank Keaton was born on October 4, 1895 in Piqua, Kansas, to"
nm0000502,Christopher,Lloyd,10/22/1938,USA,Connecticut,0,0,Christopher Lloyd is an American actor with a relatively long career. His better known roles include drug-using taxicab driver Jim Ignatowski in the sitcom
nm0000859,Lionel,Barrymore,04/28/1878,USA,Pennsylvania,0,0,"Famed actor, composer, artist, author and director. His talents extended to the authoring of the novel ""Mr. Cartonwine: A Moral Tale"" as well as his autobiography. In 1944, he joined ASCAP, and composed ""Russian Dances"", ""Partita"", ""Ballet Viennois"", ""The Woodman and the Elves"", ""Behind the Horizon"", ""Fugue Fantasia"", ""In Memorium"", ""Hallowe'en"", ""Preludium & Fugue"", ""Elegie for Oboe, Orch."", ""Farewell Symphony (1-act opera)"", ""Elegie (piano pieces)"", ""Rondo for Piano"" and ""Scherzo Grotesque""."
nm0229943,Vernon,Dobtcheff,08/14/1934,France,Gard,0,0,"Once called ""the patron saint of the acting profession"" by"
nm0818055,Octavia,Spencer,05/25/1970,USA,Alabama,0,1,"Spencer is a native of Montgomery, Alabama, which she claims is the proverbial buckle of the Bible belt. She's the sixth of seven siblings and holds a BS in Liberal Arts from Auburn University. A ""closet"" lover of acting, this practical Alabamian knew that she'd someday work in the film industry, but never dreamed it would be in front of the camera. In 1995, acclaimed director Joel Schumacher changed all that by giving her a small part opposite Sandra Bullock in the hit film A Time to Kill, and Spencer was on her way. In 1996, she teamed up with Bullock again in Bullock's directorial debut of Making Sandwiches, a short film that premiered at the 1997 Sundance Film Festival."
nm0000158,Tom,Hanks,07/09/1956,USA,California,0,0,"Thomas Jeffrey Hanks was born in Concord, California, to Janet Marylyn (Frager), a hospital worker, and Amos Mefford Hanks, an itinerant cook. His mother's family, originally surnamed ""Fraga"", was entirely Portuguese, while his father was of mostly English ancestry. Tom grew up in what he has called a ""fractured"" family. He moved around a great deal after his parents' divorce, living with a succession of step-families. No problems, no alcoholism - just a confused childhood. He has no acting experience in college and credits the fact that he could not get cast in a college play with actually starting his career. He went downtown, and auditioned for a community theater play, was invited by the director of that play to go to Cleveland, and there his acting career started."
nm0002154,Alfred,Abel,03/12/1879,Germany,Leipzig,0,0,"This elegant actor of the golden age of German cinema appeared in several masterpieces, before the cameras of such inspired geniuses as Lang, Lubitsch and Murnau. Vocation had come rather late in his life, though. Abel was indeed already 33 when he made his first film. Beforehand, he had been a forester, a gardener and a shopkeeper. But one day, while watching a film with Asta Nielsen, he was struck by revelation. He decided at once to become an actor and with the help of Nielsen in person he started a fruitful screen career. He also wrote and directed a few films. He died too soon aged only 57, but having honored the German screen with his noble, dignified figure in more than a hundred pictures."
nm0688132,Amy,Poehler,09/16/1971,USA,Massachusetts,0,1,"Amy Meredith Poehler was born in Newton, Massachusetts, to high school teachers Eileen Frances (Milmore) and William Grinstead Poehler. Her brother is comedian"
nm0000061,Tyrone,Power,05/05/1914,USA,Ohio,0,0,"Tyrone Power was one of the great romantic swashbuckling stars of the mid-twentieth century, and the third Tyrone Power of four in a famed acting dynasty reaching back to the eighteenth century. His great-grandfather was the first Tyrone Power (1795-1841), a famed Irish comedian. His father, known to historians as"
nm0368990,Rohini,Hattangadi,04/11/1955,India,New Delhi,0,1,"Rohini Hattangadi was born on April 11, 1955 in New Delhi, India. She is an actress, known for"
nm0125730,Mikhail,Bychkov,06/21/1950,USSR [now Russia],RSFSR,0,0,"Mikhail Bychkov was born on June 21, 1950 in Pereslavl-Zalesskiy, Yaroslavl Oblast, RSFSR, USSR [now Russia]. He was an actor, known for"
nm0000670,Lea,Thompson,05/31/1961,USA,Minnesota,0,1,"Lea Katherine Thompson was born on May 31, 1961, in Rochester, Minnesota. She is the youngest of five children. Her parents are Barbara Anne (Barry) and Clifford Elwin ""Cliff"" Thompson. Since all her siblings were much older than she, Lea says it seemed like she had more than two parents. The family lived in the Starlight Motel, all the kids sharing a room. Things began to look up for the family when Lea's father got a job in Minneapolis, where the family moved."
nm0167388,François,Cluzet,09/21/1955,France,Paris,0,0,"François Cluzet was born on September 21, 1955 in Paris, France. He is an actor and director, known for"
nm0000469,James,Earl,01/17/1931,USA,Mississippi,0,0,"Widely regarded as the one of greatest stage and screen actors both in his native USA and internationally, James Earl Jones was born on January 17, 1931 in Arkabutla, Mississippi. At an early age, he started to take dramatic lessons to calm himself down. It appeared to work as he has since starred in many films over a 40-year period, beginning with the"
nm0470385,Aleksey,Kravchenko,10/10/1969,USSR [now Russia],RSFSR,0,0,"Aleksey Kravchenko was born on October 10, 1969 in Moskovskaya oblast, RSFSR, USSR [now Russia]. He is an actor, known for"
nm0052333,Kanu,Bannerjee,06/20/1905,British India,State of Jodhpur,0,0,"Kanu Bannerjee was born on June 20, 1905 in Jodhpur, State of Jodhpur, British India. He was an actor, known for"
nm0000456,Holly,Hunter,03/20/1958,USA,Georgia,0,1,"Holly Hunter was born in Conyers, Georgia, to Opal Marguerite (Catledge), a homemaker, and Charles Edwin Hunter, a part-time sporting goods company representative and farmer with a 250 acre farm. She is the youngest of seven children. Her parents encouraged her talent at an early age, and her first acting part was as"
nm0000634,Peter,Sellers,09/08/1925,UK,England,0,0,"Often credited as the greatest comedian of all time, Peter Sellers was born Richard Henry Sellers to a well-off acting family in 1925 in Southsea, a suburb of Portsmouth. He was the son of Agnes Doreen ""Peg"" (Marks) and William ""Bill"" Sellers. His parents worked in an acting company run by his grandmother. His father was Protestant and his mother was Jewish (of both Ashkenazi and Sephardi background). His parents' first child had died at birth, so Sellers was spoiled during his early years. He enlisted in the Royal Air Force and served during World War II. After the war he met"
nm4043618,Tom,Holland,06/01/1996,UK,England,0,0,"Thomas Stanley Holland was born in Kingston-upon-Thames, Surrey, to Nicola Elizabeth (Frost), a photographer, and"
nm0052334,Karuna,Bannerjee,12/25/1919,British India,Bengal Presidency,0,1,"Karuna Bannerjee was born on December 25, 1919 in Calcutta, Bengal Presidency, British India. She was an actress, known for"
nm0760778,Fatima,Sana,01/11/1992,India,Andhra Pradesh,0,1,"Fatima Sana Shaikh was born in Mumbai, India, to Hindu Brahman Father, Vipen Sharma, and Muslim Mother, Raj Tabassum. She was enrolled to St. Xavier High School in Mumbai for her primary education and later to Mithibai College, Mumbai for higher education."
nm0855417,Akira,Terao,05/18/1947,Japan,Kanagawa,0,0,"Akira Terao is the son of the famous actor Jukichi Uno. After graduating from Bunka Gakuin University, he formed a rock band ""The Savage"" which experienced brief success thanks to their hit 'Itsumademo, Itsumademo'. In 1967, Kei Kuma hired him to play alongside his father in his film 'Tunnel of Kurobe'. Terao then signed a contract with Ishihara Productions for which he appeared in several films. Akira Kurosawa chose him to play in two of his films, 'Ran' (1985) and mainly, as Kurosawa himself, in 'Dreams' (1990). On the other hand Terao continues to write and sing songs and his song 'Ruby no Yubiwa' was awarded the 'Record Taisho' prize for 1986. He also regularly works for television, notably for Ishihara TV Productions."
nm0592500,Olga,Mironova,01/01/1970,unknown,unknown,0,1,"Olga Mironova is an actress, known for"
nm0000592,Pete,Postlethwaite,02/07/1946,UK,England,0,0,"An oddly fascinating bloke with prominent bony cheeks and rawboned figure, Peter William (Pete) Postlethwaite was born on February 16, 1946 and was a distinguished character actor on stage, TV and film. Growing up the youngest of four siblings in a Catholic family in Warrington, Lancashire (near Liverpool) in middle-class surroundings to working-class parents, he attended St Mary's University (London). However, while completing his studies, he developed an interest in theatre, to the chagrin of his father, who wanted his children to find secure positions in life."
nm0000168,Samuel,L.,12/21/1948,USA,Washington D.C.,0,0,"Samuel L. Jackson is an American producer and highly prolific actor, having appeared in over 100 films, including"
nm0001727,Robert,Shaw,08/09/1927,UK,England,0,0,"Robert Archibald Shaw was born on August 9, 1927, in Westhoughton, Lancashire, England, the eldest son of Doreen Nora (Avery), a nurse, and Thomas Archibald Shaw, a doctor. His paternal grandfather was Scottish, from Argyll. Shaw's mother, who was born in Piggs Peak, Swaziland, met his father while she was a nurse at a hospital in Truro, Cornwall. His father was an alcoholic and a manic depressive; he committed suicide when Robert was only 12. He had three sisters--Elisabeth, Joanna and Wendy--and one brother, Alexander."
nm0023832,Mathieu,Amalric,10/25/1965,France,Hauts-de-Seine,0,0,"Mathieu Amalric was born on October 25, 1965 in Neuilly-sur-Seine, Hauts-de-Seine, France. He is an actor and director, known for"
nm0277975,Frank,Finlay,08/06/1926,UK,England,0,0,"One of Britain's finest products of the stage, film and TV, actor Frank Finlay, he with the dark and handsomely serious-to-mordant looks, was born on August 6, 1926, in Farnworth, England, the son of Josiah, a butcher, and Margaret Finlay. Of English, Irish and Scottish descent, Frank attended St. Gregory the Great School and then was actually training to follow in his father's footsteps as a butcher himself when his side interest in acting eventually won out. He became a member of the Farnworth Little Theatre and met his future wife, Doreen Shepherd, a fellow member at the same time. They married in 1954, had three children (two sons, one daughter) and were married for over 50 years until her death in 2005."
nm0342488,Rupert,Grint,08/24/1988,UK,England,0,0,"Rupert Alexander Lloyd Grint was born in Harlow, Essex, England, the elder son of Joanne (Parsons) and Nigel Grint, who dealt in memorabilia. The first of 5 children, Rupert has one brother and three sisters."
nm0000261,Karen,Allen,10/05/1951,USA,Illinois,0,1,"Karen Jane Allen was born in Carrollton, rural southern Illinois, to Patricia (Howell), a teacher, and Carroll Thompson Allen, an FBI agent. She spent her first 10 years traveling around the country with her parents and two sisters. She was always ""the new girl in school."" Acting did not really cross Allen's mind until she was in her early 20s, when she saw a"
nm0793766,Takashi,Shimura,03/12/1905,Japan,Hyogo,0,0,"Japanese character actor Takashi Shimura was one of the finest film actors of the 20th century and a leading member of the ""stock company"" of master director"
nm0000895,Barbara,Bel,10/31/1922,USA,New York,0,1,"Arguably best remembered for her role as Miss Ellie, the Ewing family matriarch on the long-running TV series"
nm0000350,Beverly,D'Angelo,11/15/1951,USA,Ohio,0,1,"Intriguing, inspiring, and never less than interesting -- key adjectives in describing the career of Beverly D'Angelo, which has well passed the four-decade mark. Perhaps deserving better movies than she generally found herself in, she nevertheless was always an object of fascination and the one to watch...whatever the role. Hardly the shrinking violet type, Hollywood counted on her for her colorful personality, down-to-earth demeanor and scene-stealing capabilities."
nm0424060,Scarlett,Johansson,11/22/1984,USA,New York,0,1,"Scarlett Ingrid Johansson was born on November 22, 1984 in Manhattan, New York City, New York. Her mother,"
nm0001173,Aaron,Eckhart,03/12/1968,USA,California,0,0,"Aaron Eckhart was born on March 12, 1968 in Cupertino, California, USA. He is an actor and producer, known for"
nm0000124,Jennifer,Connelly,12/12/1970,USA,New York,0,1,"Jennifer Connelly was born in the Catskill Mountains, New York, to Ilene (Schuman), a dealer of antiques, and Gerard Connelly, a clothing manufacturer. Her father had Irish and Norwegian ancestry, and her mother was from a Jewish immigrant family. Jennifer grew up in Brooklyn Heights, just across the Brooklyn Bridge from Manhattan, except for the four years her parents spent in Woodstock, New York. Back in Brooklyn Heights, she attended St. Ann's school. A close friend of the family was an advertising executive. When Jennifer was ten, he suggested that her parents take her to a modeling audition. She began appearing in newspaper and magazine ads (among them ""Seventeen"" magazine), and soon moved on to television commercials. A casting director saw her and introduced her to"
nm0089217,Orlando,Bloom,01/13/1977,UK,England,0,0,"Orlando Jonathan Blanchard Copeland Bloom was born on January 13, 1977 in Canterbury, Kent, England. His mother, Sonia Constance Josephine Bloom (née Copeland), was born in Kolkata, India, to an English family then-resident there. The man he first knew as his father, Harry Bloom, was a legendary political activist who fought for civil rights in South Africa. But Harry died of a stroke when Orlando was only four years old. After that, Orlando and his older sister,"
nm0001652,John,Ratzenberger,04/06/1947,USA,Connecticut,0,0,"John started the improvisational duo group, ""Sal's Meat Market"", in Bridgeport, Connecticut with fellow actor and friend Ray Hassett. He was later affiliated with the ensemble group, ""The Downtown Cabaret"". Coincidentally, he was a friend of"
nm0000402,Carrie,Fisher,10/21/1956,USA,California,0,1,"Carrie Frances Fisher was born on October 21, 1956 in Burbank, California, to singers/actors"
nm0001715,George,C.,10/18/1927,USA,Virginia,0,0,"George C. Scott was an immensely talented actor, a star of the big screen, stage and television. He was born on October 18, 1927 in Wise, Virginia, to Helena Agnes (Slemp) and George Dewey Scott. At the age of eight, his mother died, and his father, an executive at Buick, raised him. In 1945, he joined the United States Marines and spent four years with them, no doubt an inspiration for portraying General"
nm0117709,Daniel,Brühl,06/16/1978,Spain,Catalonia,0,0,"Daniel Brühl was born in Barcelona, Spain. His father was German TV director"
nm0949167,Yoo,Ji-Tae,04/13/1976,South Korea,Seoul,0,0,"Yoo Ji-Tae was born on April 13, 1976 in Seoul, South Korea. He is an actor and director, known for"
