aid,fname,lname,birth_date,birth_country,birth_city,overall_rating,gender,description
nm6328031,Shreyas,Jain,01/01/1970,unknown,unknown,0,,Biography needs more update
nm0004306,George,Miller,03/03/1945,Australia,Queensland,0,,
nm0175333,Myles,Connolly,10/07/1897,USA,Massachusetts,0,,Biography needs more update
nm0121256,Anthony,Burgess,02/25/1917,UK,England,0,,"Anthony Burgess was born on February 25, 1917 in Manchester, England. He is known for his work on"
nm0006765,Vidhu,Vinod,01/01/1970,unknown,unknown,0,,"Producer-director Vidhu Vinod Chopra was born on 5th September, 1952 in Srinagar, Kashmir, India. After attending the Film and Television Institute of India in Pune, he made his directorial debut with the short film Murder At Monkey Hill in 1976. This won him the National Award, an honor given by the Government of India. Two years later, in 1978, he made a short documentary film called An Encounter with Faces, which was nominated for the Academy Awards in 1979. This poignant documentary highlighting the plight of India's destitute children also won the Grand Prix at the Tampere International Short Film Festival (1980). Chopra then went on to make his first mainstream Hindi-language film called Sazaaye Maut (Death Row) in 1981 (this was based on Murder at Monkey Hill). Later movies directed by him like Khamosh, Parinda, 1942: A Love Story, Kareeb, and Mission Kashmir were hailed by critics and audiences alike ( all can be hyperlinks). Moving away from direction in 2003, he wrote his first script and also made his first solo production under his company, Vinod Chopra Films, with Munna Bhai M.B.B.S. The movie, directed by Rajkumar Hirani, went on to become one of the most popular and successful films in Indian cinema. The second movie in the Munna Bhai series, Lage Raho Munna Bhai (2006) propagated Mahatma Gandhi's nonviolence principles and portrayed them in a new light. The 'Gandhisim' wave that spread across India, post the release of the movie was unprecedented. Chopra also wrote and produced the film Parineeta (2005) with another newcomer director, Pradeep Sarkar. It received critical and popular acclaim. After a hiatus of seven years, Chopra took up the director's baton yet again with the dramatic action-thriller Eklavya: The Royal Guard (2007). 3 Idiots (2009), another Vinod Chopra Films production directed by Rajkumar Hirani, remained India's #1 biggest worldwide box office performer until 2017, and it grossed more than $100 million. It was the first film in India to do so. It went on to win many awards, including Best Film at the Filmfare Awards. It also found popular appeal in markets like Taiwan and Korea. After the success of 3 idiots, Vinod Chopra worked with another new director, Rajesh Mapuskar, and co-wrote the film Ferrari Ki Sawaari (2012). The film was successful at the box-office and was lauded by the audience for its beautiful message. In 2014, he produced PK, another film directed by his longtime collaborator Rajkumar Hirani. Vinod Chopra made his Hollywood directorial debut with his film Broken Horses in 2015. This film was co-produced by the American company, Mandeville Films. He went on to produce several other films, including Wazir (2016), Sanju (2018), and Ek Ladki Koh Dekha Toh Aisa Laga (2018). His production company, Vinod Chopra Films is one of the leading film production houses in India."
nm0744839,Eric,Roth,03/22/1945,USA,New York,0,,"Eric Roth was born on March 22, 1945 in New York City, New York, USA. He is a producer and writer, known for"
nm0286025,Carl,Foreman,07/23/1914,USA,Illinois,0,,"Carl Foreman was born on July 23, 1914 in Chicago, Illinois, USA. He is known for his work on"
nm0000485,Fritz,Lang,12/05/1890,Austria-Hungary [now Austria],Vienna,0,,"Fritz Lang was born in Vienna, Austria, in 1890. His father managed a construction company. His mother, Pauline Schlesinger, was Jewish but converted to Catholicism when Lang was ten. After high school, he enrolled briefly at the Technische Hochschule Wien and then started to train as a painter. From 1910 to 1914, he traveled in Europe, and he would later claim, also in Asia and North Africa. He studied painting in Paris from 1913-14. At the start of World War I, he returned to Vienna, enlisting in the army in January 1915. Severely wounded in June 1916, he wrote some scenarios for films while convalescing. In early 1918, he was sent home shell-shocked and acted briefly in Viennese theater before accepting a job as a writer at"
nm0000122,Charles,Chaplin,04/16/1889,UK,England,0,0,"Considered to be one of the most pivotal stars of the early days of Hollywood, Charlie Chaplin lived an interesting life both in his films and behind the camera. He is most recognized as an icon of the silent film era, often associated with his popular character, the Little Tramp; the man with the toothbrush mustache, bowler hat, bamboo cane, and a funny walk."
nm0523932,Ernst,Lubitsch,01/29/1892,Germany,Berlin,0,0,"From Ernst Lubitsch's experiences in Sophien Gymnasium (high school) theater, he decided to leave school at the age of 16 and pursue a career on the stage. He had to compromise with his father and keep the account books for the family tailor business while he acted in cabarets and music halls at night. In 1911 he joined the Deutsches Theater of famous director/producer/impresario"
nm0746830,J.K.,Rowling,07/31/1965,UK,England,0,1,"Joanne Rowling was born in Yate, near Bristol, a few miles south of a town called Dursley (""Harry Potter""'s Muggle-family). Her father Peter Rowling was an engineer for Rolls Royce in Bristol at this time. Her mother, Anne, was half-French and half-Scottish. They met on a train as it left King's Cross Station in London. Her sister Diana is about 2 years younger than Joanne. In 1971, Peter Rowling moved his family to the nearby village of Winterbourne (still in the Bristol vicinity). During the family's residence in Winterbourne, Jo and Di Rowling were friends with neighborhood children, Ian and Vikki Potter. In 1974, the Rowling family moved yet again, this time to Tutshill, near the Welsh border-town of Chepstow in the Forest of Dean and across the Severn River from the greater Bristol area. Rowling admits to having been a bit of a daydreamer as a child and began writing stories at the age of six. After leaving Exeter University, where she read French and Classics, she started work as a teacher but daydreamed about becoming a writer. One day, stuck on a delayed train for four hours between Manchester and London, she dreamed up a boy called ""Harry Potter"". That was in 1990. It took her six years to write the book. In the meantime, she went to teach in Portugal, married a Portuguese television journalist, had her daughter, Jessica, divorced her husband and returned to Britain when Jessica was just three months old. She went to live in Edinburgh to be near her sister, Di. Her sudden penury made her realize that it was ""back-against-the-wall time"" and she decided to finish her ""Harry Potter"" book. She sent the manuscript to two agents and one publisher, looking up likely prospects in the library. One of these agents that she picked at random based on the fact that she liked his name, Christopher Little, was immediately captivated by the manuscript and signed her on as his client within three days. During the 1995-1996 time-frame, while hoping to get the manuscript for ""Harry Potter & The Philosopher's Stone"" published, Rowling worked as a French teacher in Edinburgh. Several publishers turned down the manuscript before Bloomsbury agreed to purchase it in 1996."
nm1010405,Nick,Schenk,01/01/1970,unknown,unknown,0,0,"Nick Schenk is a writer and producer, known for"
nm0001047,Michael,Cimino,02/03/1939,USA,New York,0,,"Michael Cimino studied architecture and dramatic arts; later he filmed advertisements and documentaries and also wrote scripts until the actor, producer and director"
nm0513130,Paulo,Lins,01/01/1970,Brazil,Rio de Janeiro,0,0,"Paulo Lins was born in 1958 in Rio de Janeiro, Rio de Janeiro, Brazil. He is a writer and director, known for"
nm0941138,Edgar,Allan,04/25/1881,USA,New York,0,,"Edgar Allan Woolf was an American playwright and screenwriter. He is mostly remembered as a co-writer of the fantasy film ""The Wizard of Oz"" (1939)."
nm0644823,Hideo,Oguni,07/09/1904,Japan,Aomori,0,,"Hideo Oguni was born on July 9, 1904 in Aomori, Japan. He was a writer and director, known for"
nm0003506,James,Mangold,12/16/1963,USA,New York,0,,
nm0001392,Peter,Jackson,10/31/1961,New Zealand,North Island,0,,"Sir Peter Jackson made history with The Lord of the Rings trilogy, becoming the first person to direct three major feature films simultaneously. The Fellowship of the Ring, The Two Towers and The Return of the King were nominated for and collected a slew of awards from around the globe, with The Return of the King receiving his most impressive collection of awards. This included three Academy Awards® (Best Adapted Screenplay, Best Director and Best Picture), two Golden Globes (Best Director and Best Motion Picture-Drama), three BAFTAs (Best Adapted Screenplay, Best Film and Viewers' Choice), a Directors Guild Award, a Producers Guild Award and a New York Film Critics Circle Award."
nm0425711,Malcolm,Johnson,09/27/1904,September 27,unknown,0,,Biography needs more update
nm0793881,Kaneto,Shindô,04/22/1912,Japan,Hiroshima,0,,"Kaneto Shindô was born on April 22, 1912 in Hiroshima, Japan. He was a writer and director, known for"
nm0868153,Giuseppe,Tornatore,05/27/1956,Italy,Sicily,0,0,"Giuseppe Tornatore was born on May 27, 1956 in Bagheria, Sicily, Italy. He is a director and writer, known for"
nm0898288,Denis,Villeneuve,10/03/1967,Canada,Québec,0,,"Denis Villeneuve is a French Canadian film director and writer. He was born in 1967, in Trois-Rivières, Québec, Canada. He started his career as a filmmaker at the National Film Board of Canada. He is best known for his feature films"
nm0787323,Peter,Shaffer,05/15/1926,UK,England,0,,"Peter Shaffer was born on May 15, 1926 in Liverpool, England. He is known for his work on"
nm3123612,Jon,Spaihts,01/01/1970,USA,New York,0,,"Jon Spaihts is an American screenwriter and author. He had written the films Dune starring Timothée Chalamet and Zendaya, Doctor Strange starring Benedict Cumberbatch, The Mummy starring Tom Cruise and Sofia Boutella, Passengers starring Jennifer Lawrence and Chris Pratt, Prometheus starring Michael Fassbender and The Darkest Hour. He is married to Johanna Watts."
nm0001707,Paul,Schrader,07/22/1946,USA,Michigan,0,,"Although his name is often linked to that of the ""movie brat"" generation ("
nm0503777,Mervyn,LeRoy,10/15/1900,USA,California,0,0,"The great San Francisco earthquake and fire of 1906 was a tragedy for Mervyn LeRoy. While he and his father managed to survive, they lost everything they had. To make money, LeRoy sold newspapers and entered talent contests as a singer. When he entered vaudeville, his act was ""LeRoy and Cooper--Two Kids and a Piano"". After the act broke up he contacted his cousin,"
nm0001825,Andrew,Kevin,08/14/1964,USA,Pennsylvania,0,0,"Andrew Kevin Walker was born on August 14, 1964 in Altoona, Pennsylvania, USA. He is a writer and actor, known for"
nm0000040,Stanley,Kubrick,07/26/1928,USA,New York,0,,"Stanley Kubrick was born in Manhattan, New York City, to Sadie Gertrude (Perveler) and Jacob Leonard Kubrick, a physician. His family were Jewish immigrants (from Austria, Romania, and Russia). Stanley was considered intelligent, despite poor grades at school. Hoping that a change of scenery would produce better academic performance, Kubrick's father sent him in 1940 to Pasadena, California, to stay with his uncle,"
nm0365661,Joan,Harrison,06/26/1907,UK,England,0,1,"In 1933, she was hired to be a secretary by"
nm0744429,Terry,Rossio,07/02/1960,USA,Michigan,0,,"Terry Rossio was born on July 2, 1960 in Kalamazoo, Michigan, USA. He is a writer, known for Godzilla VS. Kong (2021), Pirates of the Caribbean: The Curse of the Black Pearl (2003), Aladdin (1992), and Shrek (2001). Additional credits for Rossio include Deja Vu, G-Force, Lovestruck, The Long Ranger and Pirates of The Caribbean: Dead Men Tell No Tales."
nm6328030,Nikhil,Mehrotra,01/01/1970,unknown,unknown,0,,Biography needs more update
nm0709056,Peter,Ramsey,12/23/1962,USA,California,0,,"Peter Ramsey is the director of Dreamworks Animation's 2012 feature film ""Rise Of The Guardians"". He also directed the Halloween TV special, ""Monsters vs. Aliens: Mutant Pumpkins from Outer Space"" as well as serving as a story artist on several of Dreamworks Animation's feature films. Prior to joining Dreamworks, he worked as a storyboard artist on a notable number of live action feature films, including ""Backdraft"", ""Boyz n the Hood"", ""Bram Stoker's Dracula"", ""Minority Report"", ""Cast Away"", ""Independence Day,"" ""Being John Malkovich"", ""Fight Club"" and ""Hulk"", among many others. Ramsey's directing skills were honed early, as Second Unit Director on live action feature films including ""Godzilla,"" ""Tank Girl,"" ""Higher Learning,"" and ""Poetic Justice."" A lifelong resident of Los Angeles, California, Peter grew up in the Crenshaw area, and graduated from Palisades High School before attending UCLA."
nm0835732,Jeb,Stuart,01/21/1956,USA,Arkansas,0,,"Jeb Stuart was born on January 21, 1956 in Little Rock, Arkansas, USA. He is a writer and producer, known for"
nm0607694,Fulvio,Morsella,01/01/1970,unknown,unknown,0,,Biography needs more update
nm1732981,Martin,McDonagh,03/26/1970,UK,England,0,,"Martin McDonagh was born on March 26, 1970 in Camberwell, London, England. He is a writer and director, known for"
nm0000697,Billy,Wilder,06/22/1906,Poland],Malopolskie,0,,"Originally planning to become a lawyer, Billy Wilder abandoned that career in favor of working as a reporter for a Viennese newspaper, using this experience to move to Berlin, where he worked for the city's largest tabloid. He broke into films as a screenwriter in 1929 and wrote scripts for many German films until"
nm0941280,Cornell,Woolrich,12/04/1903,USA,New York,0,,"Prolific mystery writer Cornell Woolrich was born in New York City, but his parents separated when he was young and he spent much of his childhood in Latin America with his father. Then he was sent back to New York to live with his rich, domineering mother, Claire. He attended Columbia University where he wrote his first novel, a Jazz Age piece published in 1926 titled ""Cover Charge"". Another book, ""Children of the Ritz"", followed in 1927. Hollywood beckoned but his time there as an (uncredited) screenwriter proved to be unhappy. A disastrous marriage to a producer's daughter failed quickly and he headed back to New York -- and Claire. He found his niche writing suspense stories for magazines such as ""Argosy"", ""Black Mask"" and ""Thrilling Mystery"". Sales were made to Hollywood, his reputation grew, and his bank account increased. Some called him ""the Poe of the 20th century"". Then his mother sank into a lengthy illness and his output fell as he devoted more and more of his time to her care. By the time she died in 1957, he was ""burned out"". From then until his death in 1968, he lived a lonely life marked by alcoholism and poor health (he delayed visiting a doctor when his leg started bothering him; he eventually lost it to gangrene). When he died his funeral went unattended."
nm0682066,Jeff,Pidgeon,03/19/1965,USA,Vermont,0,0,"Jeff Pidgeon was born on March 19, 1965 in Vergenes, Vermont, USA. He is known for his work on"
nm0001379,John,Huston,08/05/1906,USA,Missouri,0,0,"An eccentric rebel of epic proportions, this Hollywood titan reigned supreme as director, screenwriter and character actor in a career that endured over five decades. The ten-time Oscar-nominated legend was born John Marcellus Huston in Nevada, Missouri, on August 5, 1906. His ancestry was English, Scottish, Scots-Irish, distant German and very remote Portuguese. The age-old story goes that the small town of his birth was won by John's grandfather in a poker game. John's father was the equally magnanimous character actor"
nm0000905,Roberto,Benigni,10/27/1952,Italy,Tuscany,0,0,"Roberto Benigni was born on October 27, 1952 in Manciano La Misericordia, Castiglion Fiorentino, Tuscany, Italy. He is an actor and writer, known for"
nm0188357,Harry,Crocker,07/02/1893,USA,California,0,0,"Harry Crocker was born on July 2, 1893 in San Francisco, California, USA. He is known for his work on"
nm0751648,Joe,Russo,07/08/1971,USA,Ohio,0,,"Joseph Vincent Russo is an American filmmaker and producer who works alongside his brother Anthony Russo. They have directed You, Me and Dupree, Cherry and the Marvel films Captain America: The Winter Soldier, Captain America: Civil War, Avengers: Infinity War and Avengers: Endgame. Endgame is one of the highest grossing films of all time."
nm1064118,Georges,Arnaud,07/16/1917,France,Montpellier,0,,Biography needs more update
nm0001801,Robert,Towne,11/23/1934,USA,California,0,0,"Writer, director, producer, actor. Born in Los Angeles, California, USA, and raised in the seaport town of San Pedro. Got his start acting and writing for legendary exploitation director/producer"
nm0583675,Menno,Meyjes,01/01/1970,Netherlands,Noord-Holland,0,,"Menno Meyjes was born in 1954 in Bloemendaal, Noord-Holland, Netherlands. He is a writer and director, known for"
nm0905152,Lilly,Wachowski,12/29/1967,USA,Illinois,0,,"Director, writer, and producer Lilly Wachowski was born in 1967 in Chicago, the daughter of Lynne, a nurse and painter, and Ron, a businessman. Lilly was educated at Kellogg Elementary School in Chicago, before moving on to Whitney M. Young High School. After graduating from high school, she attended Emerson College in Boston but dropped out."
nm0011343,Samuel,Hopkins,01/26/1871,USA,New York,0,,"Journalist, author, biographer and historian Samuel Hopkins Adams was born along the banks of Lake Erie at Dunkirk, NY, on 26 January 1871. His parents were Myron, a ministe3r, and Hester Rose Hopkins Adams, the daughter of a theologian. Adams attended Hamilton College in Clinton, NY, and upon graduation began working as a newspaper reporter and later editor."
nm0059030,Luigi,Bartolini,02/08/1892,Italy,Marche,0,,Biography needs more update
nm0005124,John,Lasseter,01/12/1957,USA,California,0,,"Although born in Hollywood John and his twin sister, Johanna were raised in Wittier near Los Angeles. His parents were Jewell Mae (Risley), an art teacher, and Paul Eual Lasseter, a parts manager at a Chevrolet dealership. His mother's profession contributed to his interest in animation and particularly the Bugs Bunny and Daffy Duck cartoons which he would watch on television. It was when he was in High School that he realized that he could have a career in animation and he wrote to the Walt Disney Studios but nothing happened then In 1975 the Disney company started an animation course at Calarts - The California Institute of the Arts- and John, with encouragement from his mother, was one of the first to sign up. He and his class mates, who included the future animators and directors Brad Bird, and Tim Burton were taught by some of Disney's veteran animators such as Ollie Johnston and Frank Thomas. During his time there John produced two animated shorts - Lady and the Lamp (1979) and Nitemare (1980) - which both won the Student Academy Award for Animation. On graduating in 1979 John was taken on as an animator at the Disney Studios. In 1983, while working on Mickey's Christmas Carol some friends invited him to see some footage of Tron that they were working on using CGI and he immediately saw the potential of it to enhance animated films. John and a colleague made a short test film and satisfied with the result and full of enthusiasm started work on a feature without consulting their superiors who when they found out about it canceled it and sacked John. Having made contacts in the computer industry he was quickly taken on by Lucasfilm which was bought by Steve Jobs for $5 million with a further $5 million invested as working capital and the company renamed Pixar. John soon convinced Steve that the future lay in computer animation by bringing his desk lamp to life in the short 'Luxor Jr' which was shown at a computer graphics conference and got a standing ovation. The first computer animated feature soon followed in the form of 'Toy Story' winning John an Oscar for Special Achievement to go with one he got for Animated Short Film - Tin Toy. He's also had Oscar nominations for Animated Feature - Monster Inc and Cars, Original Screenplay -Toy Story, Animated Short Story - Luxor Jr while the short Knick Knack was selected by Terry Gilliam as one of the best 10 animated films of all time. In 2008, he was honored with the Winsor McCay Award, - the lifetime achievement award for animators. He oversees 3 animation studios - Pixar, Disney Animation and DisneyToon He spent 9 year (2005 - 2014) on the board of governors of the Academy of Motion Picture Arts and Sciences, only relinquishing his seat due to term limits. He was presented with a star on the Hollywood Walk of Fame in Hollywood in November 2011."
nm3294574,Anthony,Tambakis,05/22/1967,USA,Connecticut,0,0,"Anthony Tambakis is a former Professor of Creative Writing, an award-winning short story writer, and recipient of a Paul Bowles Fellowship for fiction writing. His novel Swimming with Bridgeport Girls will be published by Simon & Schuster in Spring 2017. Tambakis is also adapting the 1961 novel and film The Hustler for Broadway. A native of Fairfield, Connecticut, he lives in Venice, California, and New York City."
nm0796117,M.,Night,08/06/1970,India,Pondicherry,0,,"Born in Puducherry, India, and raised in the posh suburban Penn Valley area of Philadelphia, Pennsylvania, M. Night Shyamalan is a film director, screenwriter, producer, and occasional actor, known for making movies with contemporary supernatural plots."
nm0002031,Michael,Curtiz,12/24/1886,Austria-Hungary [now Hungary],Budapest,0,0,"Curtiz began acting in and then directing films in his native Hungary in 1912. After WWI, he continued his filmmaking career in Austria and Germany and into the early 1920s when he directed films in other countries in Europe. Moving to the US in 1926, he started making films in Hollywood for Warner Bros. and became thoroughly entrenched in the studio system. His films during the 1930s and '40s encompassed nearly every genre imaginable and some, including"
nm0430785,Abhijat,Joshi,01/01/1970,unknown,unknown,0,0,"Abhijat Joshi is a writer and actor, known for"
nm0002045,Stanley,Donen,04/13/1924,USA,South Carolina,0,,Inspired by
nm1244760,Amole,Gupte,01/01/1970,unknown,unknown,0,0,"Amole Gupte is an Indian screenwriter, actor, and director, known for his work on Bollywood films like Taare Zameen Par (Like Stars on Earth), Stanley ka dabba, Kaminey and others. He is also an actor in Bheja Fry 2 (2011), stanley Ka Dabba (2011),Urumi (2011) Phas gaye re obama (2010) and Kaminey."
nm0281808,Victor,Fleming,02/23/1889,USA,California,0,,"Victor Fleming entered the film business as a stuntman in 1910, mainly doing stunt driving - which came easy to him, as he had been a mechanic and professional race-car driver. He became interested in working on the other side of the camera, and eventually got a job as a cameraman on many of the films of"
nm0087861,William,Peter,01/07/1928,USA,New York,0,0,"William Peter Blatty was born on January 7, 1928 in New York City, New York, USA. He was a writer and actor, known for"
nm1238855,Germán,Servidio,01/12/1982,Argentina,Buenos Aires,0,,Biography needs more update
nm0000783,Dario,Argento,09/07/1940,Italy,Lazio,0,,"Dario Argento was born on September 7, 1940, in Rome, Italy, the first-born son of famed Italian producer"
nm0258493,Julius,J.,08/22/1909,USA,New York,0,,"Julius J. Epstein was born on August 22, 1909 in New York City, New York, USA. He was a writer and producer, known for"
nm0885014,Nick,Vallelonga,09/13/1959,USA,New York,0,0,"Nick Vallelonga is best known for winning two Academy Awards and two Golden Globes for Original Screenplay and Best Picture for ""Green Book"". Nick wrote and produced ""Green Book"" with Peter Farrelly and Brian Hayes Currie, based on the true story of Nick's father Tony Lip, who went on tour of the south with the brilliant pianist Dr. Donald Shirley in 1962. Directed by Peter Farrelly, Green Book stars Viggo Mortensen as Nick's Dad, Tony Lip, Mahershala Ali as Donald Shirley and Linda Cardellini as Nick's Mom, Dolores. Director Peter Farrelly cast real family members to play roles in the film. Nick's brother, Frank Vallelonga, plays Rudy, Tony Lip's brother. The real Rudy Vallelonga, plays his and Tony's father, Nicola, and Lou Venere plays his and Dolores' father, Anthony. Nick Vallelonga also plays the role of Mob Boss Augie in the film. Tony Lip went on to become an actor, appearing in many films and TV shows including The Godfather, The Pope of Greenwich Village, and Goodfellas. Lip is best known for his role as New York Crime Boss Carmine Lupartazzi in the HBO series ""The Sopranos"". To date, ""Green Book"" has grossed over $330 million worldwide. Distributed by Universal and Steven Spielberg's Dreamworks."
nm1725469,Florian,Zeller,06/28/1979,France,Paris,0,,"Florian Zeller is a French writer and director. He is, according to the Times, ""the most exciting playwright of our time."" He has written more than 10 plays, which have been staged in more than 45 countries. His black-comedy play ""The Father"" is one of the outstanding hits of recent years. It has won several awards in Paris, London, and New York. ""The Father"" is his first film as a director."
nm0291905,David,Franzoni,03/04/1947,March 4,unknown,0,,"David Franzoni grew up in Vermont, attended the University of Vermont where he studied geology and paleontology and was a partner in a commercial film company. After attending a semester of graduate school, David dropped out, went to Berlin where he bought a motorcycle. He traveled eastern and western Europe, Turkey and Cyprus before driving his bike throughout the Middle east, India, Thailand, the Malay Peninsula and finally to Australia from Singapore. While living in Baghdad, he bought a book called ""Those About to Die"", by Daniel P. Mannix. This book would eventually inspire his original script, ""Gladiator""."
nm0000436,Curtis,Hanson,03/24/1945,USA,Nevada,0,,After small films like
nm0001402,Terry,Jones,02/01/1942,UK,Wales,0,0,"Terry Jones was born in Colwyn Bay, North Wales, the son of Dilys Louisa (Newnes), a homemaker, and Alick George Parry Jones, a bank clerk. His older brother is production designer"
nm1463981,Cagan,Irmak,04/04/1970,Turkey,Izmir,0,,"Çagan Irmak is a Turkish film and television writer and director, who has managed to attract a large audience in Turkey and is best known for the TV series Çemberimde Gül Oya (2004-2005) and Asmali Konak (2002-2004), and for the hit films Alone (2008) and My Father and My Son (2005), for which he received Turkish Cinema Writers Association Awards for Best Film, Best Screenplay and Best Director."
nm4318159,Nitesh,Tiwari,01/01/1970,unknown,unknown,0,,"Nitesh Tiwari (born 3 November, 1973) is an Indian film director, screenwriter, and lyricist. he was born and raised in tiwari family at itarasi (city of madhy pradesh) .He graduated from the Indian Institute of Technology Bombay in 1996 with a bachelor's degree in Metallurgy and Material Science engineering. He is married to Ashwiny Iyer Tiwari, who was his colleague and creative director at Leo Burnett. She is also a film director, producer and writer ."
nm0403346,George,Hurdalek,02/06/1908,Germany,Görlitz,0,,"George Hurdalek was born on February 6, 1908 in Görlitz, Germany. He was a writer and assistant director, known for"
nm0795953,Ronald,Shusett,06/28/1935,USA,Pennsylvania,0,,"Ronald Shusett was born to David and Fanny Shusett in June 1935. His younger brother Gary (1941 - 2013) founded the Sherwood Oaks Film School. When Ronald was three the family moved from Pittsburgh to Los Angeles where he grew up. He attended UCLA for two years and in the mid-1960s began producing stage plays. Over the next few years he wrote several stories for publication, including the ideas for screenplays and in 1974 he met Dan O' Bannon, with whom he would write 'Alien' and 'Total Recall', subsequently contributing to other films largely in the horror genre."
nm0941314,Linda,Woolverton,12/19/1952,USA,California,0,,"Linda Woolverton was born in Long Beach, California, graduating from high school in 1969 and having been an honors student in her schools theater program. She enrolled at California State University, Long Beach, graduating with a BFA in Theater Arts in 1973. She worked full-time for a year in the entertainment division at Disneyland, and began working toward her Masters Degree in Theater for Children at California State Fullerton, while working as a substitute teacher."
nm0102818,Charles,Brackett,11/26/1892,USA,New York,0,,"Charles Brackett, born in Saratoga Springs, New York, of Scottish ancestry, followed in his attorney-father's footsteps and graduated with a law degree from Harvard University in 1920. He practised law for several years, before commencing work as drama critic for The New Yorker (1925-29), in addition to submitting short stories to The Saturday Evening Post. In 1932, Brackett left for Hollywood as a screenwriter. He was signed by Paramount primarily on the strength of his novel ""Week-End"". Brackett remained at the studio until 1950, doubling up as producer from 1945."
nm0001466,Sergio,Leone,01/03/1929,Italy,Lazio,0,,
nm0000812,Roger,Avary,08/23/1965,Canada,Manitoba,0,,"Award-winning filmmaker Roger Avary first began experimenting in Beta I video and 8mm film formats during the late 1970s. In 1983, his Super-8mm supernatural thriller The Worm Turns won Best Film from the Los Angeles Film Teachers Association Film Expo. He went on to attend the Pasadena Art Center College of Design's film program. Avary then worked in advertising at DMB&B and J. Walter Thompson."
nm0443411,Tony,Kaye,01/01/1970,UK,England,0,,"Tony Kaye was born in London, United Kingdom. He has made several well-known music videos, including the video for ""Runaway Train"" by Soul Asylum, which won a Grammy Award, ""Dani California"" by Red Hot Chili Peppers, ""What God Wants"" by Roger Waters, and ""Help Me"" and ""God's Gonna Cut You Down"" by Johnny Cash. Kaye is a six time Grammy nominated music video director. His feature film debut was American History X (1998), a drama about racism starring Edward Norton and Edward Furlong. Kaye disowned the final cut of the film, as he did not approve of its quality. He unsuccessfully attempted to have his name removed from the credits. The final cut was critically lauded and Norton was nominated for the Academy Award for Best Actor for his performance in the film. Kaye's second feature, a documentary called Lake of Fire, was about the abortion debate in the United States. It opened in Toronto in September 2006. The movie was shortlisted for an Oscar, nominated for Best Documentary Film at the Independent Spirit Awards, the Chicago Film Critics Association Awards, and the Satellite Awards. Lake of Fire took Kaye 18 years to make. Kaye's third feature film, Black Water Transit (2010), starred Laurence Fishburne, Karl Urban, Evan Ross, Brittany Snow, and Stephen Dorff. The film is unfinished as the production company went bankrupt during the making. Kaye's fourth feature film, Detachment (2011), starring his daughter Betty Kaye, is a drama about the decline of the education system in American high schools."
nm0848217,Ted,Tally,04/09/1952,April 9,unknown,0,0,"Ted Tally was born on April 9, 1952. He is known for his work on"
nm0017690,Matthew,Aldrich,01/01/1970,unknown,unknown,0,0,"Matthew Aldrich is a writer and producer, known for"
nm0633792,Kôgo,Noda,11/19/1893,Japan,Hokkaido,0,,"Kôgo Noda is most famously know for working alongside Yasujiro Ozu in the writing of his screenplays for some of his most famous movies. Noda was born on November 19, 1893 and died at age 74 on September 23, 1968. He co-wrote some of Yasujiro's most famous films, for example: Tokyo Story (1953), Late Spring (1949), An Autumn Afternoon (1962), Late Autumn (1960), and Early Summer (1951)."
nm0873779,Gary,Trousdale,06/08/1960,USA,California,0,,"Gary Trousdale was born in La Crescenta, California. His fascination with animation was fostered as a child, where he drew cartoons from an elementary school age. He planned to become an architect, but decided instead to study animation at CalArts, where he studied for three years. He was hired in 1982 to design storyboards and do other animation. He then went to work designing restaurant menus and t-shirts. He was hired in 1985 by Disney to work on ""The Black Cauldron,"" and continued his relationship with the company for years. He gained true prominence in his field with the success of his animated film directorial debut ""Beauty and the Beast,"" which was nominated for an Academy Award for Best Picture. He continues to work with Disney, and lives in the San Fernando Valley, a suburban area of Los Angeles, California."
nm0331956,Carl,Gottlieb,03/18/1938,USA,New York,0,0,"Member of The Committee, an early improvisational comedy theater group in San Francisco, founded in the mid-1960s, which shared cast members including Gary Goodrow, Larry Hankin, Morgan Upton, Peter Bonerz, Del Close and John Brent, with similar groups such as the Compass Players (St. Louis) and the Second City (Chicago and New York)."
nm0682757,Frank,Pierson,05/12/1925,USA,New York,0,,"Frank Pierson was born on May 12, 1925 in Chappaqua, New York, USA. He was a producer and writer, known for"
nm1396121,Makoto,Shinkai,02/09/1973,Japan,Koumi,0,,"Makoto Shinkai is a Japanese director, writer, producer, animator, editor, cinematographer, voice actor, manga artist and former graphic designer."
nm0000354,Matt,Damon,10/08/1970,USA,Massachusetts,0,0,"Matthew Paige Damon was born on October 8, 1970, in Boston, Massachusetts, to"
nm0499626,Ernest,Lehman,12/08/1915,USA,New York,0,,"One of the most critically and commercially successful screenwriters in Hollywood history, Lehman grew up on Long Island, graduated from NY's City College. One of his first jobs was as a copywriter for a Broadway publicist. This experience would later be reflected in his novel and screenplay, ""Sweet Smell of Success."" He also worked as a radio comedy writer, and as editor of a financial magazine. He freelanced short stories for the likes of Collier's magazine and one of these fiction piece 'The Comedian' led to his first job in Hollywood as a screenwriter for Paramount in the mid 1950s. Nick Roddick, in Dictionary of Literary Biography, praised Lehman as ""a champion of the well-crafted, what-happens-next screenplay."" Served as president of the Writers Guild of America from 1983-85."
